ID,sentence,verb1,verbType1,verb2,verbType2,verb3,verbType3,verb4,verbType4
48,彼女は自分の車を自慢している。,して,participle,いる,dict,,,,
49,それは、おまえの声をよく聞くためだよ。,聞く,dict,,,,,,
51,あすは歴史の試験を受けなくてはならない。,ならない,negative,,,,,,
53,一年分のおこづかいを先に渡しておく。,渡して,participle,おく,dict,,,,
54,子供たちを学校に連れて行った。,連れて,participle,行った,past,,,,
55,恐れるな。,恐れる,dict,,,,,,
59,ここでは自由に振る舞っていいですよ。,振る舞って,participle,,,,,,
61,向こうに着いたら手紙を下さい。,着いたら,conditional,,,,,,
62,一週間の休みをとった。,とった,past,,,,,,
63,私は釣りに行くつもりだったのですが。,行く,dict,,,,,,
64,彼女は、ひとこともわからなかった。,わからなかった,negative-past,,,,,,
65,何のことを言っているの？,言って,participle,いる,dict,,,,
66,彼は私を頼りにしている。,して,participle,いる,dict,,,,
67,彼はアメリカの婦人と結婚している。,して,participle,いる,dict,,,,
70,ジョンは駅の方へと歩いている。,歩いて,participle,いる,dict,,,,
71,そんなに怒る必要はない。,怒る,dict,,,,,,
73,ケーキをもっと召し上がってください。,召し上がって,participle,,,,,,
74,私には外国人の友達が２人います。,います,polite,,,,,,
75,成功するつもりなら努力しなければならない。,する,dict,しなければ,negative-provisional-conditional,ならない,negative,,
77,その家はかなりぼろ屋になっている。,なって,participle,いる,dict,,,,
78,私は大坂生まれですが、東京で育ちました。,育ちました,past-polite,,,,,,
79,月曜日までにこの仕事を終えて下さい。,終えて,participle,,,,,,
80,あの家はまだ買い手がつかない。,つかない,negative,,,,,,
81,戦争が起こるかもしれない。,起こる,dict,しれない,negative,,,,
82,目覚めてみると彼女は病院にいた。,目覚めて,participle,いた,past,,,,
83,彼女は元気が無くなった。,無くなった,past,,,,,,
85,大阪にはどうやって行くんですか。,やって,participle,,,,,,
86,私は彼女の合格を祝った。,祝った,past,,,,,,
87,もっとゆっくり言ってください。,言って,participle,,,,,,
89,お勘定して下さい。,して,participle,,,,,,
90,我々は上のほうから叫び声がするのを耳にした。,した,past,,,,,,
91,通りにはたくさんの車が見える。,見える,dict,,,,,,
93,書かねばならない手紙があります。,ならない,negative,,,,,,
95,中国人は朝食に何を食べますか。,食べます,polite,,,,,,
96,彼は君にここにいてもらいたがっている。,いて,participle,いる,dict,,,,
98,私の兄は交通事故で亡くなった。,亡くなった,past,,,,,,
99,この仕事は単純なので子供にもできる。,できる,dict,,,,,,
100,列車はその駅では止まりません。,止まりません,negative-polite,,,,,,
103,彼は先生の忠告を尊重した。,した,past,,,,,,
104,彼らはその問題を解決するために大変努力した。,した,past,,,,,,
105,私はその事実を知っていましたよ。,知って,participle,いました,past-polite,,,,
106,これは私が欲しいと思った物です。,思った,past,,,,,,
107,彼女はあざけられた。,あざけられた,passive-past,,,,,,
108,これで僕もようやく浮かばれる。,浮かばれる,passive,,,,,,
111,君はそれを持っていますか。,持って,participle,います,polite,,,,
113,ある意味で、人生は夢にすぎない。,すぎない,negative,,,,,,
114,私は午後ずっとその本を読み続けている。,いる,dict,,,,,,
115,なぜ、彼女に直接言わないの。,言わない,negative,,,,,,
116,その考えはあまり気に入らない。,入らない,negative,,,,,,
117,彼はその時までにすっかり頭にきていた。,きて,participle,いた,past,,,,
118,彼らは別々に住んでいる。,住んで,participle,いる,dict,,,,
119,この辞書は私に大いに役立った。,役立った,past,,,,,,
120,君は今日明るい顔をしている。,して,participle,いる,dict,,,,
121,だれも彼の間違いを指摘するだけの勇気がなかった。,する,dict,,,,,,
123,君の答えは適切である。,ある,dict,,,,,,
125,この本はここで売られています。,売られて,passive-participle,います,polite,,,,
126,彼はいつも仕事をやりかけにしておく。,して,participle,おく,dict,,,,
127,私は時々一人で外国旅行をしたものだ。,した,past,,,,,,
128,彼は少し疲れているようですね。,疲れて,participle,,,,,,
129,君は必ずしも間違ってはいない。,間違って,participle,いない,negative,,,,
130,誰もこんな辺鄙な村に我々を訪ねてこない。,訪ねて,participle,こない,negative,,,,
131,冷たい水を持ってきて下さい。,持って,participle,きて,participle,,,,
132,彼は必ず一度月に一回両親に手紙を書く。,書く,dict,,,,,,
133,誰でもその問題を解くことができる。,解く,dict,,,,,,
134,私は昨日映画を見に行きました。,見,nominal,行きました,past-polite,,,,
135,空には太陽が輝いています。,輝いて,participle,います,polite,,,,
137,彼は君の成功をねたんでいる。,ねたんで,participle,いる,dict,,,,
139,私は彼の計画に賛成します。,します,polite,,,,,,
140,彼は親切にも私に町を案内してくれた。,して,participle,くれた,past,,,,
141,君の助言はいつも私の役に立つ。,立つ,dict,,,,,,
142,私達は会合を次の日曜まで延期することに決めた。,する,dict,決めた,past,,,,
143,彼は我々のチームで最も価値のある選手です。,ある,dict,,,,,,
144,私とテニスをしませんか。,しません,negative-polite,,,,,,
145,ここからタクシーで行くといくらくらいかかりますか。,かかります,polite,,,,,,
146,私は本当はそのように考えていない。,考えて,participle,いない,negative,,,,
148,彼女にはよくある事だが、約束を破った。,ある,dict,破った,past,,,,
150,ほかの国にも旅行しますか。,します,polite,,,,,,
153,彼の職業は電話と関係がある。,ある,dict,,,,,,
154,やりたいことを全部する時間がないのです。,やりたい,wish,する,dict,,,,
155,誰もが彼女のことを誉める。,誉める,dict,,,,,,
156,あの犬には近づくな。,近づく,dict,,,,,,
159,その事故で交通は止まった。,止まった,past,,,,,,
160,彼は彼女の妹と結婚した。,した,past,,,,,,
161,彼は建物の奥に行ってみました。,行って,participle,みました,past-polite,,,,
162,彼は言ったことをし損なった。,言った,past,,,,,,
164,私と一緒に来ない。,来ない,negative,,,,,,
167,ジムはお父さんに似ている。,似て,participle,いる,dict,,,,
168,彼は今日、お弁当を持って来た。,持って,participle,来た,past,,,,
169,いつ食事を出したらよいか教えて下さい。,教えて,participle,,,,,,
170,病院まで１０マイルもある。,ある,dict,,,,,,
171,何をやっても無駄だよ。,やって,participle,,,,,,
172,彼はいやいやその仕事をした。,した,past,,,,,,
174,彼女の声は震えていた。,震えて,participle,いた,past,,,,
175,トムは兄と同じくらい上手にスキーができる。,できる,dict,,,,,,
176,そんなガツガツ食べないで、もうちょっとゆっくり食べようよ。,食べないで,negative-participle,食べよう,volitional,,,,
177,彼は新聞に自分の顔を発表したかった。,したかった,wish-past,,,,,,
179,私は結婚しています。,して,participle,います,polite,,,,
180,彼の父は事業に失敗した。,した,past,,,,,,
181,彼の話はみんなを楽しませた。,楽しませた,causative-past,,,,,,
184,彼女は、大分に行く。,行く,dict,,,,,,
185,私の時計は週に３分遅れる。,遅れる,dict,,,,,,
186,つかの間の平和の後でまた戦争が起こった。,起こった,past,,,,,,
187,今日は泳ぎたくはないですか。,泳ぎたく,wish-nominal,,,,,,
188,また近いうちにお目にかかりましょう。,かかりましょう,volitional-polite,,,,,,
189,私達はその少年をガイドにした。,した,past,,,,,,
193,その会社は車を何台買ったか。,買った,past,,,,,,
194,彼は短い病気の後で死んだ。,死んだ,past,,,,,,
195,そんなことをするなんて何と無分別な男だ。,する,dict,,,,,,
196,くたくたに疲れました。,疲れました,past-polite,,,,,,
197,彼女は私たちに役に立つ情報をくれました。,立つ,dict,くれました,past-polite,,,,
198,ああ、やっと終わった。,終わった,past,,,,,,
199,国民は新しい政府を作った。,作った,past,,,,,,
200,私は帰宅するといつもコートにブラシをかける。,かける,dict,,,,,,
201,彼はそれができるといった。,できる,dict,いった,past,,,,
202,彼はガンにかかった。,かかった,past,,,,,,
205,それが真実であると仮定しよう。,ある,dict,しよう,volitional,,,,
206,彼は私にそこへ行けと命じた。,行け,imperative,命じた,past,,,,
207,私たちにまだたくさんの仕事がある。,ある,dict,,,,,,
209,成功することはまったく期待してない。,する,dict,,,,,,
210,この箱を２階へ運んでもらえますか。,運んで,participle,もらえます,polite,,,,
211,私の母は私にかばんを作ってくれました。,作って,participle,くれました,past-polite,,,,
212,こんな長い間待たせてごめんなさい。,待たせて,causative-participle,,,,,,
213,腕を放して。,放して,participle,,,,,,
214,遅れたので私はバスに乗った。,乗った,past,,,,,,
215,彼は口も利けない程腹を立てていた。,利けない,negative,立てて,participle,いた,past,,
217,念のため、何か食べておきなさい。,食べて,participle,,,,,,
218,彼らはあなたを怖がっていた。,いた,past,,,,,,
220,だれがこの人形を作ったか。,作った,past,,,,,,
221,彼はその新しい計画に抗議した。,した,past,,,,,,
223,彼はゆっくりと歩く。,歩く,dict,,,,,,
224,この辞書はすごく役に立つ。,立つ,dict,,,,,,
225,私はそのゲームはとても面白いと思った。,思った,past,,,,,,
226,誰でも間違う事はある。,間違う,dict,ある,dict,,,,
227,私はたびたび彼を訪ねます。,訪ねます,polite,,,,,,
228,彼はきっと来ると思う。,来る,dict,思う,dict,,,,
230,いつあなたはお姉さんと京都へ行きましたか。,行きました,past-polite,,,,,,
231,その劇は残念なくらい早く終わった。,終わった,past,,,,,,
232,私は君を信頼している。,して,participle,いる,dict,,,,
234,彼は大学に入れるように一生懸命勉強した。,した,past,,,,,,
235,キャッチボールをしよう。,しよう,volitional,,,,,,
236,もうちょっと上品にできないの。,できない,negative,,,,,,
237,私の仕事には手助けがいる。,いる,dict,,,,,,
238,彼はパリへ行き初めて私に会った。,行き,nominal,会った,past,,,,
239,ドアはどうしても開かなかった。,開かなかった,negative-past,,,,,,
240,彼は少しも仕事をしなかった。,しなかった,negative-past,,,,,,
241,ぼくにはまるでその理由がわからない。,わからない,negative,,,,,,
242,誤解しないでくれ。,しないで,negative-participle,くれ,nominal,,,,
243,時間のある時に私に会いに来なさい。,ある,dict,会い,nominal,,,,
244,ごゆっくりどうぞ。急ぐ必要はありません。,急ぐ,dict,,,,,,
245,彼は簡単に木にのぼる。,のぼる,dict,,,,,,
246,列車が入ってくるよ。,入って,participle,くる,dict,,,,
248,易しい英語で言ってください。,言って,participle,,,,,,
249,私の娘はぐっすり寝ている。,寝て,participle,いる,dict,,,,
250,彼はかなりたくさんの本を持っている。,持って,participle,いる,dict,,,,
253,ジョアンではなくて、君が間違っている。,間違って,participle,いる,dict,,,,
254,ここが父の生まれたところです。,生まれた,past,,,,,,
255,私達はまだ電話をつりつけていません。,いません,negative-polite,,,,,,
256,僕がいない間、この赤ちゃんをお願いするよ。,いない,negative,,,,,,
257,私の電話は故障している。,して,participle,いる,dict,,,,
258,その子をからかってはいけない。,からかって,participle,いけない,negative,,,,
259,今あまりお金を持っていません。,持って,participle,いません,negative-polite,,,,
260,もし見つかったら彼はひどい目にあうだろう。,見つかったら,conditional,,,,,,
261,私は彼に支払うべき金を払った。,払った,past,,,,,,
262,彼女に手をだすな。,だす,dict,,,,,,
263,私を助けてくれたとき、彼は危険を冒した。,助けて,participle,くれた,past,冒した,past,,
264,彼と論議しても無駄だ。,して,participle,,,,,,
266,私はあなたに日本について話しましょう。,ついて,participle,話しましょう,volitional-polite,,,,
267,私はあなたの言うことがさっぱりわかりません。,言う,dict,わかりません,negative-polite,,,,
268,あなたが試験に受かることは確かです。,受かる,dict,,,,,,
269,ヒゲもそりますか。,そります,polite,,,,,,
271,彼女は来週から産休に入る。,入る,dict,,,,,,
272,この計画について大部分は知っている。,ついて,participle,知って,participle,いる,dict,,
273,近くで火事が起こった。,起こった,past,,,,,,
275,次に何が起こるかだれにもわからない。,起こる,dict,わからない,negative,,,,
276,彼は私の留守中に会いに来た。,会い,nominal,来た,past,,,,
278,毎朝、何時に起きますか。,起きます,polite,,,,,,
280,彼はテレビを消して勉強にとりかかった。,消して,participle,,,,,,
282,テレビを見た後で宿題をする。,見た,past,する,dict,,,,
283,そこに署名してください。,して,participle,,,,,,
284,彼は自動車を運転できる年齢だ。,できる,dict,,,,,,
285,スキーに行きたいな。,行きたい,wish,,,,,,
289,君がこのことを理解する時がくるだろう。,する,dict,,,,,,
290,私にその辞書を持ってきなさい。,持って,participle,,,,,,
291,今まで何をしていたのですか。,して,participle,,,,,,
292,徒歩５分以内に着くはずです。,着く,dict,,,,,,
295,彼女はまたもとの自分に戻った。,戻った,past,,,,,,
299,これが彼らに一番気に入らなかった。,入らなかった,negative-past,,,,,,
300,彼は以前ここに住んでいた。,住んで,participle,いた,past,,,,
301,子供は母親にあいたがっている。,いる,dict,,,,,,
302,君には脱帽するよ。,する,dict,,,,,,
305,彼は英語を書くと必ず間違える。,間違える,dict,,,,,,
307,あなたの言う事が理解できません。,言う,dict,できません,negative-polite,,,,
308,彼女は上品ぶっている。,ぶって,participle,いる,dict,,,,
310,彼らは普段自転車で登校します。,します,polite,,,,,,
311,私はいまはなにもすることができません。,する,dict,,,,,,
314,子供を甘やかすな。,甘やかす,dict,,,,,,
316,父は私にあまり忠告しなかった。,しなかった,negative-past,,,,,,
320,彼は１０時にここに来て１１時に帰った。,来て,participle,帰った,past,,,,
321,彼はでくの坊にすぎない。,すぎない,negative,,,,,,
322,彼女は結婚したい気がしている。,したい,wish,いる,dict,,,,
323,彼の字を読むことは不可能だ。,読む,dict,,,,,,
324,間もなく彼らは結婚します。,します,polite,,,,,,
325,今十分な食料がある。,ある,dict,,,,,,
326,涙が私の顔を伝わって落ちた。,伝わって,participle,落ちた,past,,,,
328,彼の妻は彼のためにドアを開けた。,開けた,past,,,,,,
330,愛の力は世界を動かす。,動かす,dict,,,,,,
331,その時にしていただろう。,して,participle,,,,,,
332,私は彼女の手の温かさを覚えている。,覚えて,participle,いる,dict,,,,
333,私の計画は車を買うことです。,買う,dict,,,,,,
334,彼女は試験に失敗しないように一生懸命勉強した。,した,past,,,,,,
335,一方は知っているが他方は知らない。,知って,participle,知らない,negative,,,,
336,私たちは授業中英語を使う。,使う,dict,,,,,,
338,私は喜んであなたのお供をします。,喜んで,participle,します,polite,,,,
339,彼はあの車に一万ドル以上かけていた。,かけて,participle,いた,past,,,,
341,彼女はその金がなくなっていることに気付いた。,なくなって,participle,いる,dict,気付いた,past,,
342,私たちは喜んでお助けします。,喜んで,participle,,,,,,
344,警察が私を捜している。,捜して,participle,いる,dict,,,,
345,そこまで３０分以内でいけます。,いけます,polite,,,,,,
346,彼はおじあてに手紙を出した。,出した,past,,,,,,
347,彼は部屋に入ってきた。,入って,participle,きた,past,,,,
348,ぼくにそんなに金は出せない。,出せない,negative,,,,,,
351,この国では、ラクダはなくてはならない。,ならない,negative,,,,,,
352,私の友達みんなが招待されています。,されて,passive-participle,います,polite,,,,
353,彼はそれ以来１度も戻ってこない。,戻って,participle,こない,negative,,,,
354,私はあなたを支持します。,します,polite,,,,,,
355,あの車を追ってくれ。,追って,participle,くれ,nominal,,,,
356,昨夜は雨が降っていた。,降って,participle,いた,past,,,,
357,彼女は自分の意見を述べることができなかった。,述べる,dict,,,,,,
358,私は君がそうしたことをとがめない。,した,past,とがめない,negative,,,,
359,彼は声をおとした。,おとした,past,,,,,,
361,もう一度会合をもってはどうかと思うよ。,もって,participle,思う,dict,,,,
362,子供が生まれてからめったに彼らは出かけない。,生まれて,participle,,,,,,
363,彼はまだ山からもどっていない。,もどって,participle,いない,negative,,,,
365,獲物がとれなかった。,とれなかった,negative-past,,,,,,
368,このコーヒーは熱すぎて私には飲めない。,すぎて,participle,飲めない,negative,,,,
370,早く着きすぎですよ。,着き,nominal,,,,,,
371,君は自分用の部屋を持っていますか。,持って,participle,います,polite,,,,
372,この点で私達はまったくあなたと意見が違います。,違います,polite,,,,,,
373,彼女のおじさんはロンドンに滞在していましたか。,して,participle,いました,past-polite,,,,
374,学校に行く主な理由は何ですか。,行く,dict,,,,,,
375,その質問から始めましょう。,始めましょう,volitional-polite,,,,,,
379,私は泳ぐことに興味があります。,泳ぐ,dict,,,,,,
380,あなたの答えは答えになっていない。,なって,participle,いない,negative,,,,
382,花に触れないで下さい。,触れないで,negative-participle,,,,,,
384,車は私たちの生活に非常に役に立つ。,立つ,dict,,,,,,
385,その物語を一度聞いた覚えがあります。,聞いた,past,,,,,,
386,彼女はラジオを持っていた。,持って,participle,いた,past,,,,
388,彼らはまた尋ねて言った。,尋ねて,participle,言った,past,,,,
390,彼女は盲目になった。,なった,past,,,,,,
391,家が燃えている。,燃えて,participle,いる,dict,,,,
392,君の心を傷つけるつもりはなかった。,傷つける,dict,,,,,,
393,私は母の手伝いをしなければならない。,しなければ,negative-provisional-conditional,ならない,negative,,,,
396,その騒音は数時間続いた。,続いた,past,,,,,,
397,彼女は出来るだけ一生懸命英語を勉強した。,出来る,dict,した,past,,,,
398,私たちはその機会を最大限に利用した。,した,past,,,,,,
399,私たちは予想以上にたくさんの金を使った。,使った,past,,,,,,
400,昨夜のコンサートには失望した。,した,past,,,,,,
402,私はその車の代金を払うことが出来ない。,払う,dict,,,,,,
403,この薬は効くと思いますよ。,効く,dict,思います,polite,,,,
405,今夜は私におごらせてください。,おごらせて,causative-participle,,,,,,
408,あの店ではもう買う物がなにもない。,買う,dict,,,,,,
410,湖は直径３マイルある。,ある,dict,,,,,,
411,ジムは、木から降りた。,降りた,past,,,,,,
412,彼女がそのニュースを報じた。,報じた,past,,,,,,
414,この件につき、銀行にご確認いただけますか。,つき,nominal,いただけます,polite,,,,
415,彼女は事実を知るに至った。,知る,dict,至った,past,,,,
416,その知らせは人つてに聞いたよ。,聞いた,past,,,,,,
417,彼女は知らせを聞いて驚いた。,聞いて,participle,驚いた,past,,,,
420,彼女は美しい人形を持っている。,持って,participle,いる,dict,,,,
421,君の仕事は私たちの期待に添わなかった。,添わなかった,negative-past,,,,,,
422,彼は独学でフランス語を学んだ。,学んだ,past,,,,,,
423,かっとなるな。君のためにならないよ。,なる,dict,ならない,negative,,,,
424,日本ではどんな仕事をしていますか。,して,participle,います,polite,,,,
425,光が世にやって来た。,やって,participle,来た,past,,,,
426,僕は彼女の歌のピアノ伴奏をした。,した,past,,,,,,
430,一人を除いて全員出席した。,除いて,participle,した,past,,,,
432,彼らは新しい会社を創設するつもりだ。,する,dict,,,,,,
435,私の父はロンドンを何度も訪れたことがある。,訪れた,past,ある,dict,,,,
436,彼はほとんど死んだもとうぜんだ。,死んだ,past,,,,,,
437,私は昨夜手紙を書きました。,書きました,past-polite,,,,,,
438,明日は、朝市に行こう。,行こう,volitional,,,,,,
440,髪を切ってもらった方がいいよ。,切って,participle,もらった,past,,,,
441,映画は１０時から始まる。,始まる,dict,,,,,,
442,彼は行けなかったことを悔やんでいる。,行けなかった,negative-past,悔やんで,participle,いる,dict,,
443,それは秘密にしておいた方がいい。,して,participle,おいた,past,,,,
444,ケーキをまだ食べ終わっていない。,いない,negative,,,,,,
445,その靴は高すぎる。,すぎる,dict,,,,,,
446,彼女はやるたびに失敗した。,した,past,,,,,,
447,論点がわかる。,わかる,dict,,,,,,
448,彼はその村から去らなければならなかった。,去らなければ,negative-provisional-conditional,ならなかった,negative-past,,,,
451,どこに滞在する予定ですか。,する,dict,,,,,,
453,少しつめてください。,つめて,participle,,,,,,
454,彼は何をするにも消極的だ。,する,dict,,,,,,
455,彼女は約束を守らなかった。,守らなかった,negative-past,,,,,,
457,木の下に何人かの少年がいます。,います,polite,,,,,,
458,長い休暇を楽しみましょう。,楽しみましょう,volitional-polite,,,,,,
460,私たちは彼の言葉に腹を立てた。,立てた,past,,,,,,
461,彼は留学できるように一生懸命勉強している。,して,participle,いる,dict,,,,
462,彼はクラスで一番速く走れる。,走れる,dict,,,,,,
463,彼は三日前に出発した。,した,past,,,,,,
464,彼は何を企んでいるんだ。,企んで,participle,,,,,,
465,あしたはよい天気だと思います。,思います,polite,,,,,,
466,君がそんな事を言うとはな。,言う,dict,,,,,,
467,トムもビルも今テニスをしている。,して,participle,いる,dict,,,,
468,学生全員が出席した。,した,past,,,,,,
469,お茶を飲みにいらっしゃい。,飲み,nominal,,,,,,
470,その事実はすべての人に知られている。,知られて,passive-participle,いる,dict,,,,
471,日本語の新聞を持ってきてくださいますか。,持って,participle,きて,participle,,,,
472,それを議論する時間はまだ十分ある。,する,dict,ある,dict,,,,
473,あなたがおっしゃりたいことは、いったい何ですか。,おっしゃりたい,wish,,,,,,
474,彼女はこの町で働いていますか。,働いて,participle,います,polite,,,,
475,彼の演説は３時間も続いた。,続いた,past,,,,,,
476,彼はドアをあけた。,あけた,past,,,,,,
477,彼女は８時に朝食を食べに降りてきた。,食べ,nominal,降りて,participle,きた,past,,
479,公園にたいへん多くの人がいる。,いる,dict,,,,,,
482,彼はあなたに本当のことを言いましたか。,言いました,past-polite,,,,,,
483,適当に入って勝手にやって。,入って,participle,やって,participle,,,,
484,私は昨晩警察といざこざを起こした。,起こした,past,,,,,,
486,彼らは愛し合っている。,いる,dict,,,,,,
487,トムはビルほど速く走らない。,走らない,negative,,,,,,
490,僕達は農場の近くで遊んだ。,遊んだ,past,,,,,,
491,今週はしなければならないことでいっぱいだ。,しなければ,negative-provisional-conditional,ならない,negative,,,,
494,いったん彼女が到着すれば私たちは出発できます。,すれば,provisional-conditional,できます,polite,,,,
497,喜んであなたのパーティーに参加します。,喜んで,participle,します,polite,,,,
498,陰口を言われるのが好きな人はいない。,いない,negative,,,,,,
500,由美はテニスをしに公園へ行きます。,し,nominal,行きます,polite,,,,
502,払う金があれば、払えるのだが。,払う,dict,,,,,,
503,君は、朝食を食べる必要がある。,食べる,dict,ある,dict,,,,
504,新しい先生がみんなの目の前に立った。,立った,past,,,,,,
505,彼は絶対に意見を変えない。,変えない,negative,,,,,,
506,英語の勉強のやる気をおこさせる。,おこさせる,causative,,,,,,
508,出かける時間になった。,なった,past,,,,,,
509,私は次の誕生日で１６歳になる。,なる,dict,,,,,,
511,私たちは夜にはドアに鍵をかけます。,かけます,polite,,,,,,
512,私の中国語は通じなかった。,通じなかった,negative-past,,,,,,
513,父が私を今日の私にしてくれた。,して,participle,くれた,past,,,,
515,彼は私たちにおもしろい話をした。,した,past,,,,,,
516,しかし、実際は違いました。,違いました,past-polite,,,,,,
517,私は「ひさし」という名前だ。,いう,dict,,,,,,
518,彼は仕事で成功しました。,しました,past-polite,,,,,,
519,日はだんだん長くなる。,なる,dict,,,,,,
521,彼はたくさん本を持っている。,持って,participle,いる,dict,,,,
522,ちょっとその絵を見せて下さい。,見せて,participle,,,,,,
523,彼はとんちのきく男だ。,きく,dict,,,,,,
525,君にこのカメラをあげよう。,あげよう,volitional,,,,,,
526,彼女は息子の成功を確信している。,して,participle,いる,dict,,,,
527,彼女は私のとなりに座った。,座った,past,,,,,,
530,お目にかかれて大変光栄です。,かかれて,participle,,,,,,
531,何が起こっても、私は驚きません。,起こって,participle,驚きません,negative-polite,,,,
533,子供は時々我慢が出来ない。,出来ない,negative,,,,,,
534,私は自分の将来についてじっくり考えた。,ついて,participle,考えた,past,,,,
535,私はこの学校に２年前に入学した。,した,past,,,,,,
536,彼女は危険に気付いていないかもしれない。,気付いて,participle,いない,negative,しれない,negative,,
540,そして、その日彼らはイエスと一緒にいた。,いた,past,,,,,,
541,彼女は約束の時間を１時間過ぎてきた。,過ぎて,participle,きた,past,,,,
543,彼のお父さんは彼をトムと呼んでいる。,呼んで,participle,いる,dict,,,,
544,今日夕食たべに行かない？,行かない,negative,,,,,,
546,この見地からすると、君の言うことは正しい。,言う,dict,,,,,,
548,彼女がピアノを弾く音が聞こえることがよくある。,弾く,dict,聞こえる,dict,ある,dict,,
549,彼女をここに来させよう。,来させよう,causative-volitional,,,,,,
551,彼は金持ちのふりをします。,します,polite,,,,,,
552,彼に助言をしておきました。,して,participle,おきました,past-polite,,,,
553,私の留守中に誰かが訪ねてきたらしい。,訪ねて,participle,,,,,,
554,人は誰でも平等である。,ある,dict,,,,,,
555,たばこを一服吸いたい。,吸いたい,wish,,,,,,
557,彼はまだ両親に頼っている。,頼って,participle,いる,dict,,,,
558,誰も部屋に入れてはいけない。,入れて,participle,いけない,negative,,,,
562,私は今日は仕事がたくさんある。,ある,dict,,,,,,
563,彼は銀行に雇われている。,雇われて,passive-participle,いる,dict,,,,
564,彼は２日前に着いた。,着いた,past,,,,,,
565,彼はその賞を得ようと一生懸命に働いた。,得よう,volitional,働いた,past,,,,
567,彼らは次々と出発した。,した,past,,,,,,
568,彼の人気は落ちている。,落ちて,participle,いる,dict,,,,
569,最初にスープを飲んだ。,飲んだ,past,,,,,,
570,私は健康でいられる間は生きていたい。,いられる,passive,生きて,participle,いたい,wish,,
571,こっちの身にもなってよ。,なって,participle,,,,,,
572,そろそろ行こうか。,行こう,volitional,,,,,,
574,彼の服は年齢に合っていなかった。,合って,participle,いなかった,negative-past,,,,
576,私はその山の頂上を見ることができます。,見る,dict,,,,,,
577,何とかそこから脱出した。,した,past,,,,,,
579,私たちは命を失う危険が有った。,失う,dict,有った,past,,,,
580,きっと働きすぎですよ。,働き,nominal,,,,,,
582,私たちは夕食に６人の客を迎えました。,迎えました,past-polite,,,,,,
586,僕はその歌手が好きになった。,なった,past,,,,,,
587,私は彼の住所を調べて見つけ出すことができた。,調べて,participle,,,,,,
588,この本は私にはやさしく思える。,思える,dict,,,,,,
591,私たちは貧しい人々を見下してはいけない。,いけない,negative,,,,,,
593,これはどんな料理か説明してください。,して,participle,,,,,,
594,手に何をもっていますか。,もって,participle,います,polite,,,,
595,食べ物をきらしてしまった。,きらして,participle,しまった,past,,,,
596,あなたの国では海草を食べますか。,食べます,polite,,,,,,
597,私はヨーロッパへ二度行った事があります。,行った,past,,,,,,
598,彼女の言うことは必ず注意書きを取ってください。,言う,dict,取って,participle,,,,
599,彼は部下たちの前を歩いた。,歩いた,past,,,,,,
600,彼女の小説の両方とも読んだわけではない。,読んだ,past,,,,,,
602,家の手伝いをしないといけなかったの。,いけなかった,negative-past,,,,,,
603,私は君の健康を心配している。,して,participle,いる,dict,,,,
605,とてもお腹がすいた。,すいた,past,,,,,,
609,電話が鳴った時、私達は外出するところだった。,鳴った,past,する,dict,,,,
